handover_success_rate,ABS_QoS_DRB,ULDelay_gNBDU_Cell,DLDelay_gNBDU_Cell,Label
0.965237218,1,0.889705589,0.713480727,0
0.980698441,2,0.088333256,0.687102773,0
0.976675468,3,0.66290831,0.626413373,0
0.836873735,1,0.856802301,0.723152621,1
0.844999947,4,0.095144728,0.575345411,1
0.967658131,4,0.269068216,0.995492126,0
0.964061247,0,0.857404234,0.841610328,0
0.971768083,4,0.633499553,0.61226003,0
0.972445717,1,0.956145607,0.418651374,0
0.800082409,3,0.699986388,0.891549377,1
0.83374999,2,0.920034589,0.622205267,1
0.845632063,2,0.79907252,0.501290109,1
0.985545092,1,0.943034973,0.982787829,0
0.80002966,2,0.078188012,0.575309647,1
0.888273762,4,0.702882393,0.836905081,1
0.864690655,3,0.79813654,0.268269439,1
0.988880521,1,0.848653723,0.747249692,0
0.96433311,0,0.401829566,0.980279808,0
0.960999977,1,0.908225355,0.266296751,0
0.986351157,4,0.517643255,0.505096745,0
0.923796106,2,0.767816803,0.689452071,1
0.926100619,2,0.892573699,0.508616179,1
0.902100728,3,0.799942702,0.814042082,1
0.893499941,1,0.491529296,0.584802009,1
0.986268838,2,0.524375691,0.480096996,0
0.961696455,4,0.532456939,0.978840663,0
0.839251426,1,0.695026151,0.795310571,1
0.945657699,4,0.775012992,0.832436958,1
0.89303008,1,0.518722394,0.345277335,1
0.880718438,4,0.815633605,0.771277347,1
0.978563448,4,0.346250601,0.419480157,0
0.980629913,0,0.817626714,0.515720201,0
0.893820591,3,0.968548815,0.594136752,1
0.904850559,1,0.52819675,0.809739505,1
0.964706169,0,0.579542801,0.652969532,0
0.973101712,4,0.700075409,0.870666694,0
0.988224716,3,0.491522078,0.776119249,0
0.988678019,2,0.572929785,0.993755744,0
0.923062286,2,0.867278353,0.275324507,1
0.919497986,1,0.835635782,0.568862003,1
0.889811988,1,0.933841775,0.441650177,1
0.977084722,0,0.959704763,0.555512388,0
0.977773889,1,0.652887284,0.543392987,0
0.911538589,4,0.82999456,0.389963395,1
0.909637598,1,0.693025319,0.522882654,1
0.88616065,1,0.538219334,0.649595672,1
0.969043205,1,0.369541668,0.446930049,0
0.968702038,2,0.773516448,0.475522866,0
0.984715367,2,0.228668085,0.604902809,0
0.984240157,2,0.870266456,0.647268173,0
0.942182538,2,0.217109719,0.773081031,1
0.878993171,1,0.626295442,0.085170608,1
0.862142958,2,0.705518967,0.630747073,1
0.83589086,2,0.17917589,0.544633026,1
0.988818601,3,0.621058578,0.933998122,0
0.972081602,0,0.554950831,0.628278088,0
0.866747273,3,0.773612931,0.882220157,1
0.964679162,3,0.824810274,0.83890517,0
0.961214033,2,0.898381402,0.583334571,0
0.984762264,1,0.835833703,0.412757491,0
0.98978697,1,0.641381619,0.788562195,0
0.908775125,4,0.538622539,0.52544665,1
0.820539399,1,0.89832864,0.721633872,1
0.855551271,2,0.428948626,0.871387709,1
0.93867658,3,0.814979246,0.697769355,1
0.976951983,1,0.355313908,0.651269323,0
0.964164665,0,0.693272114,0.397720538,0
0.963545799,1,0.554594545,0.398198375,0
0.877738292,4,0.807011674,0.636382614,1
0.82519984,4,0.705251475,0.452325096,1
0.940146733,4,0.457045056,0.351657043,1
0.915211209,3,0.487675758,0.838003989,1
0.975453187,3,0.383775501,0.817703949,0
0.984991309,2,0.315751784,0.734152102,0
0.841201906,2,0.891703619,0.796930132,1
0.837472872,2,0.912061842,0.68144399,1
0.985040927,2,0.416788392,0.577754605,0
0.963502841,4,0.549413403,0.874837038,0
0.980178255,4,0.604311222,0.516516569,0
0.933021647,1,0.190426883,0.632981968,1
0.869172984,4,0.874127854,0.435765483,1
0.886393293,1,0.251556692,0.984299241,1
0.962385391,1,0.843089972,0.624999785,0
0.96266557,4,0.467321197,0.982197875,0
0.978930232,3,0.179091548,0.62998821,0
0.969844197,0,0.838344122,0.016669716,0
0.980762284,3,0.25695534,0.802762544,0
0.983416884,4,0.674315497,0.746039644,0
0.972322388,4,0.583113869,0.146654099,0
0.895719952,1,0.70803233,0.678627277,1
0.805310946,0,0.67214224,0.820222881,1
0.869412702,4,0.09039154,0.332663139,1
0.888700813,2,0.724806696,0.622610901,1
0.821905722,4,0.584053301,0.866498993,1
0.943714352,3,0.651668614,0.871254206,1
0.871314129,1,0.955210225,0.563746243,1
0.979739021,0,0.822440687,0.473150079,0
0.977963255,4,0.604822534,0.324398248,0
0.968301018,1,0.870876184,0.56350422,0
0.82212612,1,0.721206969,0.499784562,1
0.966799834,2,0.452907269,0.518095869,0
0.989020156,3,0.762835198,0.883132171,0
0.97882155,1,0.442212379,0.478534686,0
0.986242967,1,0.506865174,0.832377066,0
0.961211438,0,0.492548126,0.44094175,0
0.960377786,1,0.638992765,0.988198816,0
0.988884239,2,0.197099598,0.583433327,0
0.906894443,2,0.146437948,0.625437088,1
0.988167309,1,0.242890607,0.770258011,0
0.859157109,4,0.353963647,0.608488004,1
0.968516959,4,0.299311648,0.552650262,0
0.966198977,4,0.671442869,0.786971989,0
0.963161664,3,0.05199468,0.710295108,0
0.975420662,4,0.595587093,0.598385919,0
0.982949501,1,0.590454621,0.558140094,0
0.844650764,2,0.543314693,0.298274175,1
0.818384092,3,0.230261375,0.69546899,1
0.922019118,2,0.370534585,0.453960686,1
0.902855807,2,0.541543956,0.526108715,1
0.89863574,4,0.203670364,0.773175605,1
0.989351107,1,0.704886919,0.526727929,0
0.988732241,2,0.266938978,0.205377477,0
0.967142295,4,0.436902266,0.464670818,0
0.974316996,3,0.414452164,0.488726144,0
0.969499291,3,0.732295139,0.330790362,0
0.905052898,1,0.568249794,0.821822009,1
0.982171477,2,0.318486345,0.383410002,0
0.971248884,0,0.577511513,0.43925801,0
0.979465419,2,0.514847282,0.663656145,0
0.811279422,0,0.845935638,0.347257549,1
0.811621252,2,0.511519977,0.672127973,1
0.827540191,0,0.533305166,0.067401499,1
0.971782059,2,0.646597632,0.583550231,0
0.984498762,3,0.250540052,0.633367759,0
0.806273826,1,0.346828045,0.321028841,1
0.912465653,1,0.601440937,0.509160873,1
0.987772071,1,0.556129912,0.556876754,0
0.987302827,1,0.582812943,0.843229756,0
0.973348679,3,0.106008579,0.185045972,0
0.980398631,4,0.606453988,0.191283581,0
0.965383353,4,0.208935642,0.375849899,0
0.970356236,3,0.902630281,0.8452272,0
0.910343859,2,0.296407545,0.31413729,1
0.87820217,2,0.577631981,0.845877291,1
0.964939066,4,0.321729684,0.726970979,0
0.985781926,2,0.655822536,0.435136635,0
0.880094704,1,0.810035715,0.4863032,1
0.90121525,4,0.438696695,0.657363265,1
