handover_success_rate,ABS_QoS_DRB,ULDelay_gNBDU_Cell,DLDelay_gNBDU_Cell
0.965704895,3,0.482203973,0.791648774
0.985001539,3,0.242502615,0.726299685
0.843115459,2,0.523415131,0.960117526
0.847597109,3,0.58908768,0.654526627
0.88869497,4,0.748062979,0.778600383
0.888467369,2,0.335683134,0.514982531
0.886103074,2,0.599139511,0.613353454
0.939028821,1,0.826932629,0.354825211
0.867816311,3,0.53341134,0.561203921
0.843545586,3,0.608588605,0.520513607
0.871925409,1,0.36914288,0.937845494
0.897638552,1,0.664273223,0.55287202
0.89659892,1,0.936439879,0.567786918
0.922451812,2,0.27235411,0.189516762
0.823300746,1,0.777932734,0.320247815
0.915662126,3,0.333758404,0.896328068
0.870020543,1,0.394174789,0.508938226
0.885308198,0,0.708819121,0.673965073
0.94994173,4,0.278961456,0.788111583
0.935656663,4,0.500373452,0.187578791
0.889762043,1,0.742806669,0.387344041
0.816643573,1,0.645979862,0.344808176
0.83876758,2,0.570061465,0.929689476
0.899606449,3,0.677371265,0.787701596
0.892445379,1,0.272939333,0.518988576
0.94739921,3,0.78813167,0.72205451
0.83137809,4,0.996953059,0.70532917
0.932160134,4,0.168110333,0.274325307
0.86226942,3,0.855414101,0.928398901
0.879376813,3,0.855852676,0.706756209
0.851194188,0,0.77700607,0.946962332
0.86342178,1,0.442241478,0.967682417
0.852674783,1,0.520785714,0.26016685
0.833188471,1,0.614925062,0.743419503
0.908069385,0,0.794247039,0.849062451
0.863479793,0,0.64073476,0.42465499
0.937987513,4,0.120572886,0.533547572
0.925483863,3,0.659405056,0.745813114
0.932405807,4,0.252666479,0.995322558
0.835893611,1,0.178889764,0.718974962
0.942117986,3,0.91136674,0.580920503
0.921431623,0,0.574255925,0.610929364
0.971193768,0,0.728640793,0.073277471
0.97712361,1,0.820740282,0.661966054
0.967745957,2,0.619286041,0.661613588
0.977974218,2,0.727558807,0.830315995
0.962921498,2,0.718171432,0.831551127
0.960380947,2,0.306201211,0.25540327
0.977485769,3,0.183396475,0.574497624
0.972719296,4,0.68838047,0.358287691
0.963295386,2,0.927138818,0.673713421
0.976743113,4,0.724688301,0.638635705
0.965055573,2,0.203270835,0.778821506
0.974844005,1,0.700716376,0.839350475
0.97504016,3,0.871437822,0.773166201
0.989294219,2,0.347740306,0.753397322
0.988087179,1,0.457276826,0.465110552
0.987630671,4,0.210968281,0.823868252
0.969574049,1,0.589981034,0.560221206
0.96825251,1,0.686338995,0.889317392
0.969710313,0,0.885252527,0.734511863
0.985497868,2,0.137727267,0.463351831
0.96029967,0,0.875198508,0.575669762
0.985006358,1,0.935357177,0.252942764
0.970710733,0,0.715899728,0.840260925
0.973759344,1,0.373964946,0.857433721
0.969620833,3,0.699725247,0.690381921
0.977752412,1,0.580678643,0.407800989
0.98646371,4,0.550024765,0.945960874
0.98288248,0,0.770915501,0.750924304
0.98753038,2,0.717010807,0.225801312
0.964052924,0,0.866906334,0.783833939
0.982991174,3,0.721086864,0.662252016
0.971287226,2,0.676257802,0.902035736
