handover_success_rate,ABS_QoS_DRB,ULDelay_gNBDU_Cell,DLDelay_gNBDU_Cell,Label
0.967760143,4,0.82280196,0.246821963,0
0.971986953,1,0.547092853,0.572724759,0
0.983870163,1,0.823382955,0.38321384,0
0.980710761,1,0.6603607,0.753993026,0
0.853865612,4,0.512553003,0.724592811,1
0.89086988,2,0.96401392,0.345964728,1
0.918763213,3,0.574903079,0.25121872,1
0.828360754,0,0.713054606,0.218435745,1
0.879486741,1,0.631243167,0.861117831,1
0.940997346,3,0.480913715,0.603436508,1
0.921854908,1,0.652398211,0.732185676,1
0.819546016,1,0.229941288,0.827766891,1
0.947920669,3,0.490744697,0.549724979,1
0.858824656,4,0.224934634,0.689374372,1
0.827169496,3,0.783023635,0.782658984,1
0.848715623,3,0.621532219,0.342716874,1
0.891745382,2,0.147719341,0.252787748,1
0.925600208,4,0.283701793,0.262326889,1
0.930480044,3,0.719302988,0.364925628,1
0.822420282,0,0.55302562,0.962112601,1
0.872557287,3,0.895702914,0.925956791,1
0.858389028,1,0.188146515,0.380275929,1
0.824993152,1,0.277752835,0.759669408,1
0.819303745,1,0.366679481,0.950246801,1
0.82317343,0,0.717343032,0.481770372,1
0.944458926,0,0.498812178,0.815775165,1
0.924034002,2,0.547477491,0.834926105,1
0.806566353,4,0.439122837,0.721336518,1
0.928995408,4,0.693649482,0.821219377,1
0.856276008,1,0.938171633,0.533085248,1
0.890276205,1,0.469448832,0.728217353,1
0.808965726,2,0.409102396,0.395039359,1
0.907923923,0,0.426474306,0.983293048,1
0.93646595,2,0.268133828,0.292774242,1
0.929213846,4,0.522233682,0.74234901,1
0.809736614,4,0.645475045,0.972790489,1
0.915055394,1,0.201957628,0.639962733,1
0.853511349,1,0.58301958,0.975446464,1
0.929588908,0,0.570889974,0.647487386,1
0.928706588,3,0.807832054,0.985621304,1
0.89848234,3,0.680903326,0.612553822,1
0.848833253,3,0.510595885,0.79405081,1
0.975325358,3,0.748215127,0.958829442,0
0.965937298,0,0.872970758,0.269702109,0
0.960690308,4,0.585556376,0.334033351,0
0.982204692,2,0.149116218,0.576725211,0
0.985495013,2,0.672383856,0.811595553,0
0.986949778,1,0.446858228,0.690249168,0
0.972272767,4,0.433456783,0.325815877,0
0.976767028,3,0.929631409,0.186278572,0
0.963767912,2,0.43729147,0.460209921,0
0.97883089,1,0.945439494,0.45281816,0
0.976568365,1,0.638038526,0.502439629,0
0.972784748,3,0.836384616,0.913818116,0
0.985092319,3,0.878562109,0.623817404,0
0.988588137,3,0.932479272,0.585820554,0
0.960625407,1,0.986462325,0.812132069,0
0.982827009,4,0.828619421,0.694368415,0
0.966792213,3,0.506309852,0.359900745,0
0.961524975,2,0.426392293,0.590533218,0
0.980547628,2,0.359681196,0.490352377,0
0.966580349,0,0.589679034,0.726727327,0
0.964325389,1,0.446972128,0.63237277,0
0.987197273,4,0.436151973,0.785933972,0
0.974024764,0,0.4629567,0.343719474,0
0.848138333,4,0.299021737,0.719140586,1
0.923918154,0,0.443167324,0.582110856,1
0.929602565,4,0.284175168,0.290739735,1
0.867369436,1,0.432561416,0.715554407,1
0.860111114,1,0.907670395,0.516988742,1
0.865165075,1,0.634251922,0.557814059,1
0.966913968,3,0.528886624,0.649596221,0
0.973078753,2,0.954193171,0.874492509,0
0.97016635,1,0.788963909,0.631539654,0
0.96044559,1,0.648229433,0.222641732,0
0.975281484,3,0.730169588,0.074858732,0
0.967881054,3,0.807505545,0.685914142,0
0.972474066,3,0.161279512,0.463836314,0
0.986086032,2,0.530126346,0.594399846,0
0.986254856,4,0.269585827,0.879947757,0
0.975228702,1,0.588537814,0.702049104,0
0.968005721,2,0.284667127,0.688349152,0
0.968735042,1,0.475246058,0.905139199,0
0.988758482,3,0.790516403,0.479072746,0
0.98232503,4,0.59209274,0.486155211,0
0.971417334,2,0.269465993,0.768723658,0
0.962004887,1,0.943680288,0.619032621,0
0.960612463,0,0.749953399,0.743313014,0
0.966753073,0,0.406203953,0.383982511,0
0.985660946,1,0.741934327,0.694601864,0
0.981716066,4,0.399809126,0.947699408,0
0.980577961,0,0.822739707,0.580093265,0
0.97956975,0,0.744794686,0.337724325,0
0.97059972,2,0.731673236,0.685604442,0
0.973934737,0,0.766613202,0.904183833,0
0.975828998,3,0.455962234,0.520522617,0
0.980825698,3,0.486847254,0.767336732,0
0.976672426,3,0.62403591,0.909575262,0
0.972044655,4,0.875932589,0.669401738,0
0.985934477,3,0.77969521,0.43415122,0
0.961613339,2,0.361208291,0.573661793,0
0.961471321,0,0.926888772,0.717669669,0
0.981322277,2,0.783260032,0.803907358,0
0.980422431,4,0.824255834,0.842308801,0
0.963489681,2,0.545266043,0.428618711,0
0.973512888,1,0.986832203,0.291575814,0
0.964082941,4,0.701189676,0.855411809,0
0.983094081,2,0.070384119,0.327140327,0
0.964145495,1,0.673737943,0.343703419,0
0.97963302,0,0.508769854,0.953244487,0
0.960000703,3,0.395537542,0.252494725,0
0.970897706,2,0.425596704,0.809143622,0
0.9718519,1,0.593540636,0.14144036,0
0.984704989,3,0.224995465,0.839067191,0
0.979457474,4,0.79106839,0.596463286,0
0.975080176,1,0.679443504,0.793689952,0
0.988809775,4,0.526546943,0.723476104,0
0.980198808,2,0.904571737,0.923823586,0
0.970222743,4,0.327094585,0.243887193,0
0.985647921,2,0.754153966,0.60928462,0
0.837595115,2,0.452370862,0.795730954,1
0.89703214,4,0.833035023,0.652391921,1
0.855241742,4,0.706567447,0.223396107,1
0.885162874,0,0.812404436,0.394965273,1
0.830783909,4,0.607305635,0.959199991,1
0.863359403,0,0.85800039,0.54928781,1
0.926463138,3,0.644040848,0.518936944,1
0.907945353,2,0.976693716,0.821960099,1
0.820564752,1,0.848177221,0.800370981,1
0.802059284,2,0.624692164,0.666971778,1
0.89800956,2,0.395195618,0.514487689,1
0.854386427,4,0.145255291,0.254415297,1
0.92778127,3,0.837408695,0.175955301,1
0.835713827,2,0.754390031,0.847879293,1
0.804130342,2,0.160379106,0.763474549,1
0.90036367,3,0.23532749,0.668722208,1
0.934138167,1,0.986710585,0.813601849,1
0.816237759,1,0.821495113,0.683687262,1
0.892941262,4,0.479303568,0.684908723,1
0.815605282,4,0.495295561,0.865644198,1
0.813708551,3,0.42696977,0.627924564,1
0.915018697,1,0.616436042,0.601900442,1
0.864402244,1,0.853138681,0.992662389,1
0.837337053,0,0.85739758,0.485453088,1
0.844645348,1,0.749048676,0.456039914,1
0.831879332,4,0.198892311,0.623615458,1
0.886938095,1,0.413445229,0.961790814,1
0.878663643,1,0.217035123,0.308760673,1
0.876602304,2,0.66542459,0.896694582,1
0.899985985,4,0.437821931,0.258334896,1
0.931882308,0,0.829867926,0.729123997,1
0.854126754,2,0.90138304,0.670667572,1
0.946931309,4,0.579502433,0.807598272,1
0.963811466,0,0.611183468,0.610267197,0
0.983528974,2,0.361381984,0.668164861,0
0.976859593,2,0.525288861,0.750718021,0
0.965265858,0,0.876069319,0.642671422,0
0.960714516,2,0.497928131,0.678174467,0
0.986211301,2,0.574511337,0.089594678,0
0.97626535,3,0.859238931,0.335626041,0
0.967080083,4,0.643581697,0.803451925,0
0.963107984,2,0.532056425,0.680810649,0
0.963391531,3,0.69507488,0.367469818,0
0.970046606,4,0.060305439,0.867294477,0
0.980414982,3,0.376747766,0.390004147,0
0.965349872,1,0.971483448,0.363047421,0
0.976929666,4,0.632782964,0.723660054,0
0.971270174,4,0.961421666,0.658812318,0
0.970577444,1,0.780897233,0.894277739,0
0.988131401,2,0.242293382,0.89812207,0
0.988520715,1,0.644477894,0.486163192,0
0.964840513,1,0.492508162,0.539941169,0
0.978630163,1,0.68982887,0.255666998,0
0.983960845,2,0.991891006,0.674571529,0
0.986309572,0,0.556362207,0.419502319,0
0.98845277,2,0.920403169,0.931520335,0
0.972261637,1,0.634443193,0.761707306,0
0.962055952,2,0.843556156,0.609935421,0
0.975849292,3,0.133950024,0.231359716,0
0.984187351,2,0.876699791,0.379762396,0
0.978582439,3,0.658781024,0.600816611,0
0.9605493,4,0.628829667,0.339885772,0
0.984783766,3,0.215248831,0.960775996,0
0.963615733,2,0.66797895,0.430576705,0
0.98188081,4,0.757636624,0.70813906,0
0.965904512,0,0.275035006,0.997772207,0
0.983985883,1,0.7170423,0.78600085,0
0.962961647,3,0.953321331,0.775402883,0
0.983967924,2,0.814437526,0.277175491,0
0.979571037,4,0.553357326,0.622118049,0
0.97327827,1,0.614392326,0.156171586,0
0.975253319,1,0.517422179,0.637536617,0
0.989913831,1,0.844161676,0.393276177,0
0.962266697,2,0.870183174,0.558360725,0
0.96840685,0,0.964764792,0.90167645,0
0.981338576,3,0.692960775,0.437167958,0
0.965575244,1,0.225406349,0.807395951,0
0.979676697,3,0.648285624,0.257648929,0
0.989483701,0,0.790441435,0.494673382,0
0.96750926,2,0.710926369,0.505525793,0
0.964629871,0,0.621691788,0.026851002,0
0.981250768,4,0.898030532,0.479232553,0
0.964837516,1,0.374748761,0.724159406,0
0.986315655,2,0.689784137,0.81001091,0
0.970601801,1,0.372750297,0.725059381,0
0.98893176,3,0.71273899,0.584692024,0
0.98759413,3,0.647034282,0.615166591,0
0.961110484,0,0.430085095,0.474945328,0
0.97959011,1,0.824191954,0.579423039,0
0.967864416,1,0.463689648,0.666583341,0
0.981326741,2,0.692420866,0.23794632,0
0.974592067,1,0.762651441,0.562083796,0
0.989823018,2,0.70350178,0.698097697,0
0.967027545,2,0.812629957,0.767370516,0
0.981784029,3,0.780569694,0.78417308,0
0.989699393,0,0.263749237,0.285858654,0
0.96100483,1,0.729421684,0.359299767,0
0.987306329,3,0.637322747,0.939926623,0
0.986502323,0,0.536915179,0.578945978,0
0.974537594,3,0.449394807,0.750082406,0
0.969630411,4,0.499321704,0.556406289,0
0.97520483,4,0.684645615,0.651126191,0
0.960672292,4,0.625294493,0.517990079,0
0.984050319,2,0.985230102,0.507405981,0
0.859795529,4,0.630769878,0.496814242,1
0.911096689,3,0.569988544,0.689833467,1
0.926876608,1,0.712822098,0.577531757,1
0.802289063,1,0.172244383,0.495240219,1
0.930984166,3,0.940853578,0.547918065,1
0.934618045,3,0.842642945,0.675849258,1
0.822752778,1,0.535863322,0.637134436,1
0.81625665,3,0.40790031,0.865183605,1
0.94215226,1,0.095432501,0.346216603,1
0.933097306,4,0.821524028,0.53369275,1
0.907725152,1,0.429951826,0.620376797,1
0.810242849,2,0.566174542,0.816581772,1
0.826060568,3,0.908712662,0.825709081,1
0.968535111,2,0.946504763,0.964400124,0
0.982238656,2,0.775237552,0.915484252,0
0.962047355,2,0.710787016,0.295850431,0
